,name,artist,track_id,danceability,energy,loudness,acousticness,valence
79,Breakeven,The Script,285hMzLhJwHVLe9QT9qilk,0.63,0.696,-4.501,0.144,0.491
80,I Follow Rivers - The Magician Remix,Lykke Li,4Jv7lweGIUOFQ7Oq2AtAh9,0.786,0.696,-5.796,0.0234,0.306
81,Like an Animal,RÜFÜS DU SOL,1W1Ac2SNPI2PTDW6b11KKC,0.71,0.748,-6.244,0.0341,0.379
82,Adieu,Tchami,3de3pLWU48fpTNlSuM6tyR,0.718,0.747,-4.932,0.0464,0.325
83,You,Dom Dolla,766ngeTKA2AJEyzTKELhkN,0.744,0.726,-5.717,0.0147,0.213
84,Fly Kicks - Wax Motif Remix,AC Slater,30Ek6vDZ77PWTQS9HiV3xB,0.897,0.692,-4.985,0.0187,0.607
85,To Love (feat. Shannon Saunders),Sonny Fodera,6JjvOQ9fzmltytSQS14PHg,0.808,0.527,-10.796,0.375,0.238
86,Rabbit Hole,CamelPhat,6rO7Ljvkmj4ESCIcGEsVdT,0.603,0.865,-6.913,0.00991,0.287
87,Piece Of Your Heart - CYA Remix,MEDUZA,3WEifRfQ9VwQ3x7bp5sgCo,0.619,0.654,-10.23,0.0172,0.105
88,Fake ID,Riton,4qq73N1TKocRaYGQS23b9u,0.746,0.862,-6.11,0.21,0.604
89,Move Your Body,Marshall Jefferson,3YXIVMQLRRq2K7kxC7UYx6,0.791,0.801,-6.344,0.00531,0.609
90,Paradise,Golden Features,2xbh5NWAm6zjfeZg3yrwbO,0.713,0.703,-9.452,0.493,0.203
91,Lose My Mind,Chris Lake,37KIu6bxGKeIOxomTXsEAF,0.711,0.983,-8.243,0.142,0.108
92,Stay With Me,Chris Lake,0VgtjIiWXKMxqtYnhHmQ8U,0.706,0.846,-5.475,0.00653,0.241
93,Red Light Green Light,Duke Dumont,5D1zGVDJTOqwaGSzYw5TtP,0.811,0.825,-5.48,0.000646,0.95
94,More Than You Know,Axwell /\ Ingrosso,6h5PAsRni4IRlxWr6uDPTP,0.646,0.741,-4.973,0.0275,0.571
95,Sex on Fire,Kings of Leon,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,-5.653,0.00172,0.374
96,The Middle,Jimmy Eat World,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,-5.428,0.0371,0.903
97,Jumper - 1998 Edit,Third Eye Blind,3354J49VpkbZJho7Ztdzpw,0.599,0.543,-9.226,0.0129,0.624
98,Semi-Charmed Life,Third Eye Blind,42et6fnHCw1HIPSrdPprMl,0.64,0.864,-6.576,0.00832,0.7
99,Came For The Low,ZHU,36LQYp5FNsuT5voIO9bdfZ,0.794,0.531,-6.798,0.0184,0.13
100,Never Let You Go - 2008 Remaster,Third Eye Blind,1sxUaLi0G2vB7dl4ogtCxH,0.728,0.94,-5.034,0.0814,0.967
101,Turn off the Lights,Chris Lake,7dsImih2L25fa6qjNphBI7,0.824,0.745,-5.49,0.0467,0.888
102,San Frandisco,Dom Dolla,3T00mhdOYUuM5yiuPs3xhs,0.779,0.937,-6.269,0.0443,0.49
103,Define,Dom Dolla,3B1Je3rlEac3p4ikYW13zw,0.405,0.808,-3.867,0.18,0.32
104,Enough to Believe - Jamie Jones Remix,Bob Moses,4LtVrrqpn48l4Iq7KIshmi,0.698,0.831,-7.095,0.00108,0.138
105,Losing It,FISHER,6ho0GyrWZN3mhi9zVRW7xi,0.76,0.964,-5.844,0.00182,0.641
106,Gimme! Gimme! Gimme!,GAMPER & DADONI,4zLSkwZaiMfzzapPCbdG90,0.62,0.748,-5.36,0.0151,0.417
107,The Less I Know The Better,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,-4.083,0.0115,0.785
108,Woah,Lil Baby,02RCbjb9czvQKNGBmEmWob,0.883,0.599,-5.551,0.0177,0.413
109,Grace (feat. 42 Dugg),Lil Baby,01JMnRUs2YOK6DDpdQASGY,0.817,0.513,-6.263,0.38,0.177
110,Ride Or Die (feat. Foster The People),The Knocks,38Zr5Q5O5o6CYaioIRHSqL,0.648,0.75,-3.248,0.0609,0.556
111,Tongue Tied,Grouplove,0GO8y8jQk1PkHzS31d699N,0.56,0.936,-5.835,0.00847,0.371
112,Cold Water,Major Lazer,7zsXy7vlHdItvUSH8EwQss,0.608,0.798,-5.092,0.0736,0.501
113,Sit Next to Me,Foster The People,4BdGO1CaObRD4La9l5Zanz,0.638,0.738,-4.976,0.117,0.657
114,Animal,Neon Trees,1fBl642IhJOE5U319Gy2Go,0.482,0.833,-5.611,0.000346,0.74
